rom_base	full_name	year	manufacturer
88games	'88 Games	1988	Konami
flagrall	'96 Flag Rally	1996	Promat?
99lstwarb	'99: The Last War (bootleg)	1985	bootleg
99lstwark	'99: The Last War (Kyugo)	1985	Crux / Kyugo
99lstwar	'99: The Last War (set 1)	1985	Crux / Proma
99lstwara	'99: The Last War (set 2)	1985	Crux / Proma
005	005	1981	Sega
10yard85	10-Yard Fight '85 (US, Taito license)	1985	Irem (Taito license)
10yardj	10-Yard Fight (Japan)	1983	Irem
10yard	10-Yard Fight (World, set 1)	1983	Irem
gtmro	1000 Miglia: Great 1000 Miles Rally (94/05/10)	1994	Kaneko
gtmrb	1000 Miglia: Great 1000 Miles Rally (94/05/26)	1994	Kaneko
gtmra	1000 Miglia: Great 1000 Miles Rally (94/06/13)	1994	Kaneko
gtmr	1000 Miglia: Great 1000 Miles Rally (Taiwan 94/07/18)	1994	Kaneko
119	119 (bootleg?)	1986	Coreland / Sega
cprogolf18	18 Challenge Pro Golf (DECO Cassette) (Japan)	1982	Data East Corporation
progolf	18 Holes Pro Golf (set 1)	1981	Data East Corporation
1941j	1941: Counter Attack (Japan)	1990	Capcom
1941u	1941: Counter Attack (USA 900227)	1990	Capcom
1941	1941: Counter Attack (World 900227)	1990	Capcom
1941r1	1941: Counter Attack (World)	1990	Capcom
1942c64	1942 (C64 Music)	2015	hack by Minwah
1942b	1942 (First Version)	1984	Capcom
1942a	1942 (Revision A)	1984	Capcom
1942abl	1942 (Revision A, bootleg)	1984	bootleg
1942	1942 (Revision B)	1984	Capcom
1942w	1942 (Williams Electronics license)	1985	Capcom (Williams Electronics license)
1943kai	1943 Kai: Midway Kaisen (Japan)	1987	Capcom
1943b	1943: Battle of Midway (bootleg, hack of Japan set, set 1)	1987	bootleg
1943b2	1943: Battle of Midway (bootleg, hack of Japan set, set 2)	1987	bootleg
1943bj	1943: Midway Kaisen (bootleg)	1987	bootleg
1943ja	1943: Midway Kaisen (Japan)	1987	Capcom
1943jah	1943: Midway Kaisen (Japan, no protection hack)	1987	Capcom
1943jaha	1943: Midway Kaisen (Japan, no protection hack, alt)	1987	Capcom
1943j	1943: Midway Kaisen (Japan, Rev B)	1987	Capcom
1943	1943: The Battle of Midway (Euro)	1987	Capcom
1943ua	1943: The Battle of Midway (US)	1987	Capcom
1943u	1943: The Battle of Midway (US, Rev C)	1987	Capcom
1943mii	1943: The Battle of Midway Mark II (US)	1987	Capcom
1944	1944: The Loop Master (Europe 000620)	2000	Eighting / Raizing (Capcom license)
1944j	1944: The Loop Master (Japan 000620)	2000	Eighting / Raizing (Capcom license)
1944ad	1944: The Loop Master (USA 000620 alt Phoenix Edition) (bootleg)	2000	bootleg
1944d	1944: The Loop Master (USA 000620 Phoenix Edition) (bootleg)	2000	bootleg
1944u	1944: The Loop Master (USA 000620)	2000	Eighting / Raizing (Capcom license)
bgareggabl	1945 Er Dai / 1945 Part-2 (Chinese hack of Battle Garegga)	1998	bootleg (Melody)
1945kiiin	1945k III (newer, OPCX1 PCB)	2000	Oriental Soft
1945kiii	1945k III (newer, OPCX2 PCB)	2000	Oriental Soft
1945kiiio	1945k III (older, OPCX1 PCB)	1999	Oriental Soft
1945kiiipt	1945k III (Promat license, OPCX1 PCB)	1999	Promat
spikes91	1991 Spikes (Italian bootleg, set 1)	1991	bootleg
spikes91b	1991 Spikes (Italian bootleg, set 2)	1991	bootleg
19xxar1	19XX: The War Against Destiny (Asia 951207)	1996	Capcom
